City,Year,Latitude,Longitude,Historical_Event_Count,Frequency_Past_EQ,Average_Magnitude,Time_Since_Last_Event,Nearby_Fault_Activity,Seismic_Zone,Proximity_to_Fault_Line_km,Soil_Type,Depth_km,Magnitude,Predicted_Hazard_Level,Building_Type,Building_Age_Years,Building_Material,Population_Density,Predicted_Damage_Level,Estimated_Damage_Percent,Average_Building_Value_INR,Number_of_Structures,Insurance_Coverage,Estimated_Financial_Loss_INR,Estimated_Insurance_Recovery_INR,Net_Economic_Impact_INR,Risk_Propensity_Score,Hazard_Scenario_Type,Disaster_Preparedness_Index,Infrastructure_Density,Economic_Resilience_Score,Time_to_Recovery_Days
Niigata,1560,35.1948,133.5858,64,1.6,5.39,22,Low,V,47.12,Stiff,61.8,4.6,Moderate,Commercial,22,Concrete,Medium,Moderate,47.24,49615742.73,110,Partial,2578232455.22,1289116227.61,1289116227.61,0.45,Worst case,0.55,20.46,0.59,458
Hiroshima,1661,35.7093,143.1696,29,3.63,4.49,6,Moderate,II,15.23,Soft,10.3,5.6,High,School,66,Steel,Low,Moderate,18.07,11957107.29,215,None,464539596.77,0.0,464539596.77,0.98,Best case,0.68,41.3,0.22,318
Yokohama,2013,43.8414,137.3059,79,3.85,4.61,2,High,III,47.64,Soft,58.6,6.7,Low,Hospital,98,Concrete,Low,High,10.79,2264783.44,546,Partial,133426092.71,66713046.355,66713046.355,0.31,Best case,0.17,39.06,0.21,121
Osaka,2014,34.6772,137.5921,17,1.46,6.98,31,Moderate,V,10.8,Soft,45.3,6.6,Low,Commercial,83,Mixed,Low,Low,37.85,28657613.44,939,None,10185245379.13,0.0,10185245379.13,0.51,Worst case,0.15,49.75,0.15,85
Yokohama,1890,34.4603,136.4551,8,0.8,4.42,61,High,V,13.27,Soft,16.6,6.8,Moderate,School,97,Steel,High,Moderate,48.3,49838145.84,794,None,19113028605.93,0.0,19113028605.93,0.31,Worst case,0.3,9.51,0.69,451
Niigata,1927,36.3913,131.9607,62,2.3,4.68,6,Low,IV,26.28,Soft,36.3,4.7,Moderate,High-rise,86,Mixed,High,High,86.92,13180432.63,583,Full,6679099880.48,6679099880.48,0.0,0.53,Likely,0.12,13.73,0.78,452
Kobe,1963,39.2842,134.8525,89,1.28,7.42,81,High,II,3.23,Rocky,7.8,5.5,High,Commercial,60,Wood,Medium,High,59.92,25467357.91,777,None,11857051747.97,0.0,11857051747.97,0.19,Worst case,0.54,8.35,0.39,623
Kobe,1613,37.1403,135.6383,51,4.31,5.37,41,Moderate,V,44.6,Rocky,67.1,7.1,Low,School,9,Mixed,Medium,High,85.14,40635289.62,569,Partial,19685627896.42,9842813948.21,9842813948.21,0.33,Worst case,0.86,2.88,0.91,313
Yokohama,2006,39.558,139.8903,58,2.31,4.79,16,High,III,3.33,Rocky,38.7,4.6,Low,Commercial,32,Steel,High,Low,89.0,22720381.28,17,Full,343759368.77,343759368.77,0.0,0.14,Likely,0.18,36.1,0.16,437
Osaka,1558,31.5805,130.5336,19,3.71,5.24,99,Moderate,V,17.49,Stiff,55.4,6.6,High,School,28,Wood,Medium,High,35.16,21194415.58,782,Full,5827429997.02,5827429997.02,0.0,0.69,Likely,0.79,13.99,0.12,397
Osaka,2000,44.5179,134.4317,24,4.88,6.34,66,Moderate,IV,6.07,Rocky,45.0,7.1,Low,High-rise,41,Wood,High,High,86.59,24434509.43,776,None,16418485171.18,0.0,16418485171.18,0.97,Likely,0.82,15.35,0.98,403
Sendai,1929,37.2902,143.8045,15,4.08,6.3,10,Low,II,2.19,Stiff,12.2,6.4,High,High-rise,73,Mixed,High,Low,36.63,22171767.26,133,Full,1080161940.2,1080161940.2,0.0,0.45,Best case,0.25,14.42,0.94,201
Sapporo,1571,32.9621,143.3039,20,1.5,6.86,38,Moderate,V,42.33,Rocky,64.7,5.0,Moderate,High-rise,13,Wood,Medium,Low,23.79,48941466.66,311,Full,3621027399.63,3621027399.63,0.0,0.76,Best case,0.8,33.15,0.26,627
Hiroshima,1714,41.2978,134.04,91,0.31,4.58,28,Moderate,V,34.26,Soft,11.0,7.9,Low,School,79,Mixed,High,Moderate,48.0,42194448.37,470,Full,9519067552.27,9519067552.27,0.0,0.47,Best case,0.78,37.43,0.65,659
Tokyo,1937,38.4753,140.3333,38,2.93,7.07,7,High,IV,23.08,Rocky,5.6,5.0,Moderate,School,5,Concrete,Medium,Moderate,79.92,14617202.77,492,Full,5747577679.26,5747577679.26,0.0,0.46,Best case,0.82,11.0,0.6,331
Hiroshima,1543,39.2398,132.8204,40,1.94,5.89,35,Moderate,II,0.26,Rocky,54.5,4.1,Moderate,High-rise,81,Steel,High,Low,5.94,37727728.74,446,None,999498080.87,0.0,999498080.87,0.43,Best case,0.39,8.3,0.38,240
Niigata,1951,44.945,135.5246,3,3.64,7.1,98,Low,II,6.89,Soft,48.1,4.0,High,School,21,Wood,Medium,Moderate,7.47,9177370.77,197,Partial,135053270.51,67526635.255,67526635.255,0.81,Best case,0.18,29.82,0.53,555
Tokyo,1812,40.8511,131.5621,57,2.85,5.96,23,High,III,33.82,Stiff,57.3,5.1,Moderate,Residential,60,Brick,High,High,32.38,32188041.9,220,None,2292947352.79,0.0,2292947352.79,0.15,Likely,0.4,39.46,0.74,48
Hiroshima,1588,36.603,132.2118,54,3.7,4.83,62,Low,IV,11.03,Stiff,43.9,6.9,High,High-rise,75,Wood,Low,Low,67.36,15672732.01,170,Full,1794715887.93,1794715887.93,0.0,0.48,Best case,0.67,39.5,0.21,588
Niigata,1963,42.597,135.7575,8,4.76,4.71,60,High,IV,48.98,Soft,15.7,6.8,Moderate,Residential,94,Mixed,Medium,High,75.69,14380469.69,858,Full,9338967502.17,9338967502.17,0.0,0.94,Best case,0.8,3.75,0.87,610
Nagoya,1966,42.629,132.7915,48,2.23,7.28,99,High,II,6.67,Soft,10.2,6.9,High,Residential,35,Mixed,Medium,Moderate,42.13,36745903.2,847,Full,13112448518.38,13112448518.38,0.0,0.15,Worst case,0.3,7.44,0.46,625
Sapporo,1675,39.8543,144.3492,29,1.49,4.16,85,Moderate,II,13.09,Soft,21.1,7.6,Moderate,Commercial,10,Steel,High,Low,28.12,38210514.86,627,None,6736987580.2,0.0,6736987580.2,0.86,Best case,0.34,8.66,0.87,648
Sendai,2002,30.9398,143.5966,56,1.8,5.1,90,Low,V,17.37,Rocky,63.5,4.1,Low,High-rise,75,Brick,High,High,86.89,28448240.99,208,Partial,5141484732.01,2570742366.005,2570742366.005,0.45,Worst case,0.85,39.6,0.66,194
Kobe,1974,44.7195,133.848,2,3.65,4.67,48,Low,IV,23.2,Stiff,68.2,6.4,High,Residential,61,Mixed,High,Low,14.7,8411094.61,717,Full,886520960.8,886520960.8,0.0,0.48,Best case,0.18,34.5,0.59,693
Hiroshima,1740,31.7215,142.9021,57,2.76,6.77,48,Moderate,III,27.18,Stiff,10.3,5.8,High,School,65,Mixed,Low,Low,41.43,7907021.75,31,Full,101552252.44,101552252.44,0.0,0.86,Likely,0.7,23.65,0.47,666
Sapporo,1907,41.2393,134.3588,39,0.65,5.25,98,Low,V,2.6,Stiff,56.1,4.8,High,Residential,7,Steel,Low,Moderate,79.13,27697540.2,77,Full,1687613894.14,1687613894.14,0.0,0.78,Likely,0.57,11.04,0.89,657
Yokohama,1813,43.0587,133.5819,39,4.93,6.7,62,High,V,27.63,Stiff,11.1,5.4,Low,School,44,Steel,Medium,High,50.79,25392812.89,783,Full,10098358569.13,10098358569.13,0.0,0.43,Likely,0.51,20.47,0.18,336
Sendai,1554,32.9341,132.8008,7,1.51,6.77,35,High,V,13.82,Rocky,25.3,6.6,Moderate,High-rise,15,Steel,Medium,High,82.78,27118414.5,563,None,12638575043.51,0.0,12638575043.51,0.5,Worst case,0.6,9.14,0.65,288
Sapporo,1527,43.4578,132.5328,32,3.03,4.12,7,Moderate,V,44.7,Rocky,47.5,4.6,High,High-rise,4,Brick,Medium,Low,72.88,48420037.98,796,None,28089664849.14,0.0,28089664849.14,0.89,Likely,0.82,25.76,0.97,604
Nagoya,1896,37.2804,131.8365,29,3.21,4.58,94,Moderate,IV,32.81,Stiff,13.4,6.7,Moderate,Residential,3,Concrete,High,Low,49.83,36248327.5,939,None,16960726556.06,0.0,16960726556.06,0.29,Best case,0.44,48.7,0.4,294
Sapporo,1996,42.286,138.1119,82,3.82,7.46,65,High,III,41.08,Stiff,34.9,5.4,Moderate,Residential,98,Steel,Medium,Moderate,74.64,44111273.78,807,Partial,26570196382.76,13285098191.38,13285098191.38,0.26,Worst case,0.74,41.47,0.19,704
Kobe,1877,32.1296,135.2191,46,1.04,6.15,22,High,II,31.05,Rocky,27.9,7.4,Low,Residential,11,Wood,High,Low,76.72,13444768.85,298,Partial,3073818345.19,1536909172.595,1536909172.595,0.21,Best case,0.71,16.93,0.72,185
Tokyo,1733,40.225,132.507,19,1.21,6.93,86,Moderate,III,3.85,Stiff,27.1,7.5,Moderate,Hospital,47,Steel,Medium,Low,30.95,11419574.44,236,Partial,834108556.25,417054278.125,417054278.125,0.79,Likely,0.47,38.2,0.91,430
Hiroshima,1821,41.491,141.8267,76,4.5,6.28,5,Moderate,II,33.54,Stiff,41.4,4.4,Moderate,Hospital,46,Mixed,Medium,High,44.13,43363616.87,849,Full,16246773141.9,16246773141.9,0.0,0.22,Likely,0.47,40.32,0.53,310
Sapporo,1740,36.3217,130.4076,86,0.72,6.48,50,Moderate,IV,41.3,Soft,50.5,7.4,High,Hospital,45,Concrete,High,Moderate,86.84,36606878.61,772,Full,24541427133.16,24541427133.16,0.0,0.67,Worst case,0.58,32.12,0.5,149
Hiroshima,1610,40.5553,138.1105,39,1.39,4.16,32,Low,III,23.44,Soft,24.6,6.4,High,Residential,99,Steel,Low,Moderate,24.24,36782061.21,50,None,445798581.87,0.0,445798581.87,0.14,Likely,0.91,42.76,0.7,651
Niigata,1741,35.1061,144.8354,54,2.7,6.93,47,Low,III,1.73,Soft,42.9,8.0,High,High-rise,50,Wood,Low,High,53.73,33282428.44,313,Full,5597269074.65,5597269074.65,0.0,0.85,Best case,0.64,6.63,0.18,474
Kobe,1764,30.4897,143.0283,97,4.41,6.0,44,Low,V,34.72,Stiff,10.3,7.6,Moderate,Residential,46,Steel,Medium,High,70.78,30494248.12,35,Partial,755434008.68,377717004.34,377717004.34,0.25,Likely,0.25,47.46,0.5,534
Tokyo,1951,40.5395,133.5615,70,0.75,4.82,75,High,V,24.38,Rocky,47.4,7.8,Moderate,Commercial,34,Wood,High,High,45.2,49208175.33,593,Partial,13189562482.75,6594781241.375,6594781241.375,0.67,Worst case,0.16,13.47,0.43,291
Kobe,1967,30.6847,132.1004,64,2.31,5.66,98,Low,III,9.8,Rocky,44.7,5.1,Low,School,56,Steel,High,Low,55.22,27313366.93,58,Full,874781590.69,874781590.69,0.0,0.11,Likely,0.3,2.8,0.2,631
Sapporo,1988,36.9428,136.5781,63,2.61,5.03,8,Moderate,III,40.83,Rocky,23.5,7.3,Low,School,21,Concrete,Medium,High,34.34,25863185.0,50,Partial,444070886.45,222035443.225,222035443.225,0.13,Worst case,0.71,3.2,0.51,156
Tokyo,1857,34.121,135.9186,18,2.11,7.18,11,Low,III,33.73,Soft,24.3,6.9,Low,Residential,92,Brick,High,Moderate,74.8,1076690.15,868,Partial,699056153.55,349528076.775,349528076.775,0.1,Best case,0.75,41.65,0.14,687
Niigata,1585,31.7173,135.7576,35,1.91,4.42,27,High,II,27.48,Stiff,63.5,5.6,Low,Residential,15,Brick,High,Moderate,68.74,21221090.98,806,Partial,11757426619.36,5878713309.68,5878713309.68,0.71,Worst case,0.43,30.09,0.11,239
Osaka,2007,32.0831,131.7361,38,4.38,6.53,26,Moderate,IV,37.05,Rocky,39.4,7.3,Low,High-rise,94,Brick,High,High,17.08,1573623.93,277,None,74450665.93,0.0,74450665.93,0.37,Likely,0.54,29.28,0.14,242
Niigata,1700,42.1203,133.2408,24,3.67,6.28,27,High,IV,19.37,Stiff,60.4,5.6,Moderate,Commercial,45,Brick,Low,Moderate,28.41,16009361.44,643,Partial,2924530913.22,1462265456.61,1462265456.61,0.63,Likely,0.3,19.83,0.51,201
Osaka,2001,43.7495,136.4648,74,2.95,5.3,56,High,III,1.37,Rocky,30.5,6.1,High,Commercial,34,Wood,High,High,19.18,22095937.58,205,Full,868790169.71,868790169.71,0.0,0.14,Best case,0.79,47.39,0.41,231
Sendai,1968,39.6873,139.5535,42,1.99,6.77,10,Moderate,II,15.56,Soft,49.0,6.4,High,Commercial,34,Brick,Low,Moderate,76.55,29430854.42,495,None,11152012933.96,0.0,11152012933.96,0.51,Best case,0.72,7.89,0.54,405
Niigata,1882,44.6618,137.9787,44,1.98,4.14,63,Low,III,20.71,Soft,30.7,5.3,High,Commercial,15,Mixed,Low,Moderate,46.47,7372341.34,131,None,448796439.71,0.0,448796439.71,0.2,Best case,0.96,16.38,0.9,230
Sapporo,1635,44.7602,134.3261,46,0.84,4.11,95,High,III,17.02,Rocky,40.2,4.6,Low,School,49,Concrete,High,Moderate,50.24,9248510.84,830,Partial,3856555032.19,1928277516.095,1928277516.095,0.85,Likely,0.5,15.81,0.33,592
Niigata,1697,32.6576,137.6117,20,4.84,5.95,0,High,III,29.02,Stiff,14.0,5.8,Moderate,Residential,98,Concrete,High,Moderate,46.56,20687161.23,282,None,2716207719.77,0.0,2716207719.77,0.76,Worst case,0.37,16.97,0.81,194
Nagoya,1889,40.9623,132.2198,4,2.43,5.9,18,Moderate,III,6.62,Soft,43.5,6.4,Moderate,Residential,54,Concrete,High,Low,50.34,43628488.82,670,None,14714929452.23,0.0,14714929452.23,0.77,Worst case,0.59,3.83,0.71,587
Niigata,1745,30.5169,144.5441,18,2.61,4.33,51,High,III,43.18,Rocky,43.3,5.5,High,Hospital,75,Steel,High,Moderate,22.27,38328111.38,408,Full,3482553524.97,3482553524.97,0.0,0.65,Worst case,0.93,18.75,0.75,111
Osaka,1854,36.6518,139.0318,3,4.05,5.67,72,Low,IV,2.97,Soft,5.2,6.6,Moderate,Commercial,97,Steel,High,Moderate,80.91,4060422.09,815,Partial,2677509323.11,1338754661.555,1338754661.555,0.33,Best case,0.13,48.61,0.3,143
Tokyo,1725,37.1527,140.3158,42,4.37,5.85,63,Moderate,V,14.97,Soft,28.3,7.2,Moderate,Hospital,24,Concrete,Medium,High,67.31,26900327.38,743,None,13453211497.09,0.0,13453211497.09,0.11,Likely,1.0,34.16,0.85,356
Fukuoka,1603,30.0348,130.6624,35,4.19,6.59,36,Moderate,IV,0.28,Rocky,65.9,7.3,Moderate,Residential,73,Wood,High,Moderate,70.12,42450150.54,203,Full,6042507248.41,6042507248.41,0.0,0.19,Worst case,0.46,36.43,0.35,289
Sendai,1544,36.1066,130.9901,98,2.79,6.21,76,Moderate,III,47.38,Rocky,9.7,7.8,Low,Hospital,16,Steel,High,Moderate,62.95,6533650.49,171,Partial,703311540.17,351655770.085,351655770.085,0.82,Likely,0.74,3.46,0.17,42
Sendai,1744,40.0028,133.1667,33,1.48,6.81,77,Low,IV,7.62,Rocky,22.3,4.1,High,Residential,53,Brick,High,High,76.59,27900042.02,679,None,14509308042.34,0.0,14509308042.34,0.98,Worst case,0.64,18.53,0.68,60
Tokyo,1845,43.3299,137.5463,61,2.32,6.88,53,High,II,3.59,Stiff,49.4,5.0,Low,School,28,Concrete,Low,High,24.95,15856508.91,856,Partial,3386506320.93,1693253160.465,1693253160.465,0.6,Worst case,0.57,8.0,0.8,495
Fukuoka,1648,36.0217,132.3794,33,0.76,6.2,74,Low,III,13.58,Soft,31.2,4.4,Moderate,High-rise,93,Brick,High,Low,8.98,14532308.33,303,Full,395415390.27,395415390.27,0.0,0.91,Best case,0.62,23.88,0.41,186
Sendai,2005,43.9633,142.4007,18,2.87,7.03,67,High,III,39.45,Soft,63.0,5.7,High,High-rise,49,Concrete,Medium,Low,37.07,46879736.54,700,Partial,12164822834.76,6082411417.38,6082411417.38,0.18,Worst case,0.72,25.2,0.45,661
Sapporo,1695,40.1377,132.0867,84,3.59,6.33,32,Moderate,II,13.92,Stiff,13.4,6.7,Low,High-rise,25,Steel,Medium,Low,30.33,6162881.19,988,Full,1846771442.55,1846771442.55,0.0,0.67,Likely,1.0,6.14,0.55,569
Sapporo,1622,42.9873,137.1395,17,3.21,6.7,70,Low,III,38.38,Rocky,32.1,7.3,High,Residential,31,Wood,Low,Low,66.17,19186919.12,175,Partial,2221797266.8,1110898633.4,1110898633.4,0.53,Best case,0.89,11.57,0.71,202
Yokohama,1669,30.5391,135.921,7,3.29,6.59,27,Low,III,48.73,Stiff,8.4,6.7,High,High-rise,54,Brick,High,High,21.93,44620535.13,261,Full,2553958955.4,2553958955.4,0.0,0.14,Best case,0.7,41.34,0.8,594
Sendai,1966,34.0139,142.5322,45,1.29,7.19,1,Moderate,IV,0.97,Soft,13.1,5.7,Moderate,Hospital,25,Mixed,Medium,Moderate,67.58,17181896.19,789,Partial,9161493576.26,4580746788.13,4580746788.13,0.64,Best case,0.11,23.74,0.97,217
Kobe,1682,35.9647,141.4346,27,1.41,4.77,91,Moderate,II,48.8,Stiff,13.2,4.1,Moderate,Residential,59,Concrete,Low,High,37.52,19018948.89,430,None,3068441138.12,0.0,3068441138.12,0.34,Likely,0.12,15.37,0.8,548
Fukuoka,1905,35.2214,135.5761,15,2.88,6.32,76,Moderate,IV,48.71,Stiff,60.1,4.1,Low,High-rise,75,Steel,High,Moderate,75.53,30701181.68,513,Full,11895753094.25,11895753094.25,0.0,0.51,Best case,0.46,15.84,0.16,518
Niigata,1566,44.0607,139.0494,76,3.76,5.66,89,High,II,29.11,Rocky,69.4,5.0,Low,Residential,56,Concrete,Medium,High,89.26,27679634.31,152,Full,3755439920.94,3755439920.94,0.0,0.61,Best case,0.8,11.04,0.75,228
Fukuoka,1673,32.112,139.3362,9,1.64,4.97,76,High,II,40.56,Rocky,46.3,5.6,High,Hospital,28,Wood,Low,Moderate,59.64,40683149.18,696,Partial,16887347398.98,8443673699.49,8443673699.49,0.93,Best case,0.36,24.03,0.9,518
Tokyo,1678,40.35,140.3514,4,2.54,4.81,53,Low,III,20.78,Rocky,24.6,7.0,Low,Hospital,96,Steel,Low,Low,47.55,34301396.3,462,Partial,7535365040.58,3767682520.29,3767682520.29,0.66,Worst case,0.94,38.28,0.59,331
Niigata,2012,36.4922,130.6585,93,4.33,5.68,32,Moderate,II,6.85,Stiff,69.7,6.1,Moderate,Residential,95,Wood,Medium,Low,25.57,48070721.8,281,Full,3453963081.56,3453963081.56,0.0,0.67,Best case,0.55,20.93,0.96,475
Sendai,1570,38.5431,133.8931,88,4.6,4.62,81,Moderate,III,49.06,Stiff,17.4,7.2,Low,School,59,Brick,High,High,35.18,35217246.7,820,Full,10159330459.03,10159330459.03,0.0,0.57,Worst case,0.98,38.11,0.25,37
Tokyo,1685,41.5963,134.65,93,3.24,6.33,58,Moderate,II,48.01,Soft,54.6,7.4,High,High-rise,44,Wood,Medium,Low,6.03,1442884.98,622,Full,54117709.79,54117709.79,0.0,0.44,Best case,0.6,40.43,0.14,199
Yokohama,1537,34.825,142.7206,71,4.06,4.89,26,Moderate,II,1.46,Soft,36.3,6.6,High,Commercial,10,Mixed,Medium,Moderate,81.62,8536544.21,256,Partial,1783687010.36,891843505.18,891843505.18,0.93,Worst case,0.99,3.2,0.78,433
Niigata,2011,41.314,143.7764,90,1.45,6.18,44,Low,V,12.55,Rocky,41.7,5.4,Moderate,Hospital,68,Wood,High,Low,77.02,45209583.77,163,Partial,5675728691.4,2837864345.7,2837864345.7,0.93,Worst case,0.19,25.79,0.3,134
Tokyo,2021,33.4304,144.3448,21,4.35,4.99,92,Moderate,III,21.57,Rocky,51.7,6.3,Moderate,Residential,21,Wood,High,High,48.92,38180036.43,412,Full,7695201614.48,7695201614.48,0.0,0.23,Worst case,0.49,45.28,0.86,674
Nagoya,1571,36.2917,141.7055,83,2.54,4.72,92,Moderate,V,12.77,Rocky,24.2,6.4,High,High-rise,46,Mixed,Medium,High,22.6,4486755.97,845,None,856835787.59,0.0,856835787.59,0.37,Likely,0.89,23.54,0.19,312
Sapporo,1863,42.5374,134.9829,97,3.89,5.23,3,Low,V,7.58,Rocky,61.9,6.2,Moderate,Residential,23,Mixed,High,Moderate,84.14,20199374.2,190,Partial,3229193155.86,1614596577.93,1614596577.93,0.79,Worst case,0.1,21.41,0.57,386
Nagoya,1883,40.8469,133.0084,37,0.15,5.53,50,Moderate,V,2.6,Stiff,17.4,5.2,High,Residential,36,Concrete,High,Moderate,68.06,42572843.58,352,Partial,10199227223.87,5099613611.935,5099613611.935,0.65,Worst case,0.91,41.08,0.33,235
Yokohama,1924,31.8803,135.0545,46,4.05,7.45,21,Moderate,V,19.66,Soft,43.4,6.6,Moderate,Commercial,59,Steel,Medium,High,40.23,37937655.33,41,None,625755068.31,0.0,625755068.31,0.25,Likely,0.8,29.6,0.96,39
Hiroshima,1728,37.228,135.4257,47,1.55,6.5,20,Low,IV,28.0,Rocky,55.7,6.8,High,Residential,51,Brick,Medium,Low,36.39,46713318.27,97,Partial,1648900722.29,824450361.145,824450361.145,0.24,Likely,0.26,5.81,0.82,436
Fukuoka,1540,31.8769,142.7571,56,1.44,6.82,92,High,IV,7.11,Soft,18.9,6.7,Moderate,Residential,3,Mixed,Low,Moderate,15.1,38471237.93,889,Partial,5164340508.49,2582170254.245,2582170254.245,0.61,Best case,0.95,25.32,0.44,129
Sapporo,1671,41.7931,141.0167,17,0.18,6.74,34,Low,V,0.57,Rocky,50.7,7.9,Moderate,Hospital,61,Concrete,Medium,Moderate,13.29,28390051.07,934,Full,3524017293.25,3524017293.25,0.0,0.84,Likely,0.59,48.38,0.15,222
Fukuoka,1912,34.6325,137.234,12,4.81,6.5,18,Low,II,19.83,Soft,13.6,7.5,High,Residential,20,Brick,Low,Low,62.56,31626430.12,523,Full,10347813719.25,10347813719.25,0.0,0.88,Likely,0.71,40.04,0.33,404
Niigata,1722,38.5762,142.4925,82,3.18,4.87,71,Low,III,2.59,Stiff,40.7,5.2,High,School,75,Brick,High,Moderate,21.27,21171117.56,911,Full,4102321098.27,4102321098.27,0.0,0.4,Likely,0.76,20.82,0.16,88
Sendai,1860,35.3378,131.2588,18,3.42,4.25,93,Moderate,V,18.7,Rocky,66.4,6.6,Moderate,Residential,54,Brick,High,High,67.35,6693356.87,224,Partial,1009786590.84,504893295.42,504893295.42,0.48,Best case,0.78,5.97,0.35,367
Fukuoka,2010,44.1191,143.721,7,0.43,5.82,16,Moderate,II,5.16,Rocky,40.6,7.9,Moderate,Hospital,41,Wood,High,Low,67.72,35523166.97,434,None,10440429283.68,0.0,10440429283.68,0.28,Best case,0.57,4.63,0.64,127
Niigata,1915,37.2456,134.028,23,3.32,7.39,42,High,II,29.77,Soft,16.2,7.7,High,School,20,Mixed,Low,Moderate,30.27,5511282.32,117,None,195187023.52,0.0,195187023.52,0.51,Worst case,0.18,28.12,0.68,163
Sendai,1753,33.7634,140.1404,96,3.39,6.04,58,Moderate,II,13.55,Soft,43.8,7.5,High,Hospital,65,Wood,High,Moderate,14.95,23005152.51,830,None,2854594349.2,0.0,2854594349.2,0.95,Worst case,0.76,44.27,0.28,639
Niigata,1869,35.6033,130.7573,64,0.18,6.04,48,High,II,27.1,Rocky,66.1,4.9,Moderate,Residential,73,Mixed,High,Low,76.38,10238489.68,809,Partial,6326508159.83,3163254079.915,3163254079.915,0.29,Likely,0.7,25.4,0.77,719
Sendai,1886,31.3894,141.2258,24,2.23,4.91,92,Low,II,25.64,Soft,33.5,8.0,Low,School,92,Concrete,High,Moderate,57.13,32246724.1,179,Full,3297637072.62,3297637072.62,0.0,0.73,Worst case,0.28,33.05,0.84,140
Niigata,1939,41.0808,130.2062,62,1.84,4.06,42,Low,IV,12.38,Rocky,9.1,5.8,Moderate,Hospital,67,Wood,Low,High,23.3,30257692.74,537,Partial,3785872773.32,1892936386.66,1892936386.66,0.17,Worst case,0.96,42.09,0.82,304
Hiroshima,1562,37.4025,134.2496,45,2.05,5.8,90,High,V,26.07,Soft,9.4,5.5,High,School,73,Concrete,Low,High,22.53,40186219.43,304,None,2752402392.22,0.0,2752402392.22,0.34,Best case,0.43,44.87,0.7,597
Tokyo,1616,41.8106,136.1701,57,1.32,6.47,39,High,V,22.13,Soft,47.2,7.7,High,Commercial,92,Wood,Low,Low,40.65,25503925.8,521,Full,5401387181.44,5401387181.44,0.0,0.5,Best case,0.12,15.75,0.55,602
Fukuoka,1832,37.0429,130.4247,91,0.62,6.68,77,Low,V,0.57,Soft,31.6,7.7,High,Residential,85,Steel,High,Moderate,18.64,4454105.34,723,None,600267305.18,0.0,600267305.18,0.95,Best case,0.77,36.31,0.84,624
Yokohama,1757,31.6565,134.3378,67,4.63,5.55,22,Low,IV,12.74,Rocky,53.3,4.3,Low,Residential,88,Concrete,Medium,Low,72.09,16081995.75,553,Full,6411211437.1,6411211437.1,0.0,0.83,Best case,0.81,31.98,0.44,343
Sapporo,1661,44.1168,143.1448,84,4.53,4.27,34,Moderate,III,17.44,Rocky,38.9,7.2,Moderate,Hospital,87,Concrete,High,Moderate,76.22,43079449.69,972,Partial,31915772170.21,15957886085.105,15957886085.105,0.47,Worst case,0.11,15.5,0.51,628
Sapporo,2019,32.6888,140.4092,22,2.21,6.59,84,Moderate,V,35.94,Stiff,52.6,6.1,High,Residential,22,Steel,Low,Low,51.02,17916267.73,647,None,5914149227.91,0.0,5914149227.91,0.25,Best case,0.9,12.84,0.42,144
Fukuoka,1589,33.3354,137.7884,27,1.62,4.58,46,Moderate,IV,19.55,Soft,20.2,4.9,Low,Hospital,28,Wood,Low,Low,53.61,49326086.93,146,None,3860782419.66,0.0,3860782419.66,0.47,Worst case,0.49,27.5,0.73,204
Hiroshima,1560,41.3039,133.055,97,2.12,7.05,33,High,II,1.11,Soft,66.4,6.8,Low,Hospital,64,Mixed,High,High,84.32,22515682.7,865,Partial,16422218459.53,8211109229.765,8211109229.765,0.72,Likely,0.29,20.2,0.91,36
Tokyo,1697,41.5948,144.2716,64,0.19,6.77,24,Moderate,IV,33.66,Rocky,31.5,7.5,High,Residential,32,Brick,Medium,Moderate,65.74,44196609.29,831,Partial,24144581137.16,12072290568.58,12072290568.58,0.75,Best case,0.58,41.97,0.84,365
Niigata,1787,33.0515,131.9108,70,2.31,4.64,65,Moderate,III,20.23,Soft,36.5,4.1,High,High-rise,46,Brick,Medium,Low,37.97,40373345.31,444,Partial,6806413091.11,3403206545.555,3403206545.555,0.35,Likely,0.29,3.06,0.53,214
Tokyo,1568,41.1462,142.7189,56,4.91,5.58,76,Moderate,V,40.19,Rocky,33.2,8.0,Moderate,Commercial,93,Concrete,Medium,Moderate,42.94,4430172.09,215,None,408997917.52,0.0,408997917.52,0.44,Best case,0.16,19.11,0.52,151
Fukuoka,1934,35.2492,143.9393,29,1.17,6.32,48,Moderate,II,18.66,Stiff,46.1,4.4,Moderate,School,79,Wood,Medium,Moderate,9.14,29469739.58,210,None,565642181.5,0.0,565642181.5,0.63,Worst case,0.8,37.84,0.82,343
Hiroshima,1717,41.3775,130.2194,82,3.14,6.6,70,Moderate,V,33.12,Rocky,27.6,5.6,High,Residential,58,Concrete,Medium,Low,82.2,38177050.74,908,Full,28494434423.12,28494434423.12,0.0,0.49,Worst case,0.8,42.78,0.59,603
Fukuoka,2007,32.3472,137.1088,12,3.59,5.35,58,High,V,9.27,Soft,44.0,7.4,Moderate,Hospital,94,Wood,High,High,82.17,25845922.69,216,None,4587320449.66,0.0,4587320449.66,0.6,Likely,0.63,7.55,0.5,687
